cycle,sim_time_s,n_aircraft,n_clusters_observed,max_complexity_observed,n_open_tracks,status_counts,n_resolved_tracks,best_resolution_score
109,1650.0,3,1,62.99,1,"{""PEAK"": 1}",0,
110,1665.0,3,1,58.99,1,"{""DISSIPATING"": 1}",0,
111,1680.0,3,1,54.99,1,"{""DISSIPATING"": 1}",0,
112,1695.0,1,0,0.0,1,"{""DISSIPATING"": 1}",0,
113,1710.0,0,0,0.0,1,"{""DISSIPATING"": 1}",0,
114,1725.0,0,0,0.0,1,"{""CLOSED"": 1}",0,
115,1740.0,0,0,0.0,0,{},0,
116,1755.0,0,0,0.0,0,{},0,
117,1770.0,0,0,0.0,0,{},0,
118,1785.0,0,0,0.0,0,{},0,
119,1800.0,0,0,0.0,0,{},0,
120,1815.0,0,0,0.0,0,{},0,
121,1830.0,0,0,0.0,0,{},0,
122,1845.0,0,0,0.0,0,{},0,
123,1860.0,0,0,0.0,0,{},0,
124,1875.0,0,0,0.0,0,{},0,
125,1890.0,0,0,0.0,0,{},0,
126,1905.0,0,0,0.0,0,{},0,
127,1920.0,0,0,0.0,0,{},0,
128,1935.0,0,0,0.0,0,{},0,
129,1950.0,0,0,0.0,0,{},0,
130,1965.0,0,0,0.0,0,{},0,
131,1980.0,0,0,0.0,0,{},0,
132,1995.0,0,0,0.0,0,{},0,
133,2010.0,0,0,0.0,0,{},0,
134,2025.0,0,0,0.0,0,{},0,
135,2040.0,0,0,0.0,0,{},0,
136,2055.0,0,0,0.0,0,{},0,
137,2070.0,0,0,0.0,0,{},0,
138,2085.0,0,0,0.0,0,{},0,
139,2100.0,0,0,0.0,0,{},0,
140,2115.0,0,0,0.0,0,{},0,
141,2130.0,0,0,0.0,0,{},0,
142,2145.0,0,0,0.0,0,{},0,
143,2160.0,0,0,0.0,0,{},0,
144,2175.0,0,0,0.0,0,{},0,
145,2190.0,0,0,0.0,0,{},0,
146,2205.0,0,0,0.0,0,{},0,
147,2220.0,0,0,0.0,0,{},0,
148,2235.0,0,0,0.0,0,{},0,
149,2250.0,0,0,0.0,0,{},0,
150,2265.0,0,0,0.0,0,{},0,
151,2280.0,0,0,0.0,0,{},0,
152,2295.0,0,0,0.0,0,{},0,
153,2310.0,0,0,0.0,0,{},0,
154,2325.0,0,0,0.0,0,{},0,
155,2340.0,0,0,0.0,0,{},0,
